From Date,To Date,PM10,NO2,SO2,CO,Ozone
06-09-2019 00:00,07-09-2019 00:00,82.43,32.1,9.19,1.47,None
07-09-2019 00:00,08-09-2019 00:00,103.61,40.65,9.76,1.71,None
08-09-2019 00:00,09-09-2019 00:00,94.75,32.52,9.11,1.39,None
09-09-2019 00:00,10-09-2019 00:00,97.27,34.18,8.41,1.53,None
10-09-2019 00:00,11-09-2019 00:00,128.37,None,8.64,1.54,None
11-09-2019 00:00,12-09-2019 00:00,125.54,36.46,8.55,1.5,None
12-09-2019 00:00,13-09-2019 00:00,106.37,28.98,8.39,1.41,None
13-09-2019 00:00,14-09-2019 00:00,101.54,33.86,8.45,1.36,None
14-09-2019 00:00,15-09-2019 00:00,109.12,44.19,7.37,1.46,None
15-09-2019 00:00,16-09-2019 00:00,76.78,44.9,7.91,1.22,None
16-09-2019 00:00,17-09-2019 00:00,70.89,44.28,7.71,1.36,None
17-09-2019 00:00,18-09-2019 00:00,56.71,36.63,7.34,1.39,None
18-09-2019 00:00,19-09-2019 00:00,96,37.71,7.27,1.51,None
19-09-2019 00:00,20-09-2019 00:00,116.78,43.38,7.47,1.55,None
20-09-2019 00:00,21-09-2019 00:00,104.58,38.45,7.59,1.59,None
21-09-2019 00:00,22-09-2019 00:00,134.12,46.09,7.34,1.56,None
22-09-2019 00:00,23-09-2019 00:00,91.11,56.55,7.56,1.54,None
23-09-2019 00:00,24-09-2019 00:00,76.27,69.04,7.09,1.48,None
24-09-2019 00:00,25-09-2019 00:00,57.46,49.01,6.78,1.63,None
25-09-2019 00:00,26-09-2019 00:00,55.61,80.79,6.21,0.97,None
26-09-2019 00:00,27-09-2019 00:00,126.37,60.81,5.86,1.93,None
27-09-2019 00:00,28-09-2019 00:00,137.17,70.33,6.36,1.97,None
28-09-2019 00:00,29-09-2019 00:00,160,71.34,6.34,1.7,None
29-09-2019 00:00,30-09-2019 00:00,172.93,66.05,5.79,1.7,None
30-09-2019 00:00,01-10-2019 00:00,None,None,None,None,None
01-10-2019 00:00,02-10-2019 00:00,135.33,24.93,6.55,1.58,None
